Mã hàng,Tên mặt hàng,Đvt,ton_kho
A944.40,"HH vịt, ngan đẻ siêu trứng",Kg,1000
A313PLUS.25,HH cho gà đẻ siêu trứng,Kg,1000
A118SF.25,HH cho lợn nái nuôi con,Kg,1000
A2SF.25,HH cho lợn con từ 7kg- 25kg,Kg,1000
A1020SF.25,HH cho lợn siêu nạc từ 12kg - 25kg,Kg,1000
A999.20,Đậm đặc cao cấp cho lợn tập ăn - xuất chuồng,Kg,1000
A1.02,HH cho lợn sữa từ 7 ngày tuổi - 10kg,Kg,1000
A2031PLUS.25,HH cho gà thịt từ 29 ngày tuổi- XC,Kg,1000
A4040.25,"HH cho vịt, ngan con 01- 21 ngày",Kg,1000
A9136LY.25,"HH cao cấp cho cá có vảy Rô Phi, Diêu Hồng (500gr- xuất bán) 6 ly",Kg,1000
A1031.25,HH cho lợn thịt từ (15kg- 25kg),Kg,1000
A1032.25,HH cho lợn thịt 15-60kg,Kg,1000
A2.05,HH cho lợn con tập ăn (10 ngày tuổi -20kg thể trọng) bao 5kg,Kg,1000
A117SF.25,"HH cho lợn nái hậu bị, nái chửa",Kg,1000
L312S.25,HH đặc biệt cho gà siêu thịt vỗ béo,Kg,1000
A2012S.25,HH đặc biệt cho gà thịt vỗ béo,Kg,1000
A308.25,Đậm đặc cho gà thịt 1 ngày - xuất chuồng,Kg,1000
L311S.25,HH cho gà trắng công nghiệp (15-28 ngày tuổi),Kg,1000
A945.40,"HH vịt, ngan đẻ trứng",Kg,1000
A2010S.25,HH cho gà trắng từ 1-21 ngày tuổi,Kg,1000
A1020.25,HH cao cấp cho lợn con siêu nạc ( từ tập ăn- 25kg),Kg,1000
A2011S.25,HH cao cấp cho gà thịt từ 22-42 ngày tuổi,Kg,1000
A2021.25,HH cho gà siêu thịt từ 22- 42 ngày tuổi,Kg,1000
A912A6LY.25,"HH cao cấp cho cá có vảy Trắm, chép, Rô Phi, Diêu Hồng...(GĐ 200gr- XB)-6 ly",Kg,1000
A9156LY.25,"HH cao cấp cho cá có vảy Rô Phi, Diêu Hồng ( từ 500gr- xuất bán) - 6 ly",Kg,1000
A1031.40,HH lợn con 15- 40kg,Kg,1000
A1032.40,HH lợn thịt 15-60 kg,Kg,1000
A911S1LY.25,"HH cao cấp cho cá có vẩy Rô Phi, Diêu Hồng (5-10gr)- 1ly",Kg,1000
A2.25,HH cho lợn con tập ăn (10 ngày -20kg thể trọng) bao 25 kg,Kg,1000
A9122LY.25,"HH cao cấp cho cá có vảy Rô Phi, Diêu Hồng (200gr- 500gr) 2 ly",Kg,1000
A117.25,"HH cho lợn nái hậu bị, nái chửa",Kg,1000
A118.25,HH lợn nái nuôi con,Kg,1000
A912A4LY.25,"HH cao cấp cho cá có vảy Trắm, chép, Rô Phi, Diêu Hồng...(GĐ 200gr- XB)-4 ly",Kg,1000
A912A2LY.25,"HH cao cấp cho cá có vảy Trắm, chép, Rô phi, Diêu hồng.. ( GĐ 200gr- XB)- 2 ly",Kg,1000
A999.05,ĐĐ lợn cao cấp cho lợn tập ăn - xuất chuồng,Kg,1000
A1034.25,HH cho lợn lai 30kg -  xuất chuồng,Kg,1000
A911S2LY.25,"HH cao cấp cho cá có vẩy Rô Phi, Diêu Hồng (5-10gr)- 2 ly",Kg,1000
